mag,z,vel,lum_dist
20.29,0.18221823956,54627,829.4
22.03,0.357507357032,107178,1844.0
19.97,0.14178799912599999,42506,715.8
21.51,0.260533476953,78105,1451.0
20.9,0.232781107182,69786,1099.0
19.86,0.151857894665,45525,677.9
18.87,0.0939086318905,28153,431.1
21.74,0.286618706522,85926,1613.0
20.66,0.194316512142,58254,982.4
20.0,0.147025138268,44077,725.6
21.26,0.2115869815,63432,1294.0
20.34,0.180119779968,53998,846.7
21.47,0.263491026592,78992,1424.0
20.74,0.192149980044,57605,1018.0
22.01,0.338802609134,101570,1824.0
19.45,0.117277362889,35158,561.3
19.82,0.1424046524,42691,665.7
20.02,0.160861854636,48225,730.9
21.54,0.288418344585,86465,1474.0
19.5,0.12282889997,36823,575.4
21.25,0.263647950642,79039,1287.0
19.41,0.126473161901,37915,552.2
20.2,0.172742230556,51786,795.4
20.09,0.163795894987,49104,756.7
21.48,0.249511054792,74801,1433.0
21.35,0.257740303509,77268,1350.0
19.34,0.106712340103,31991,533.7
20.05,0.159889937748,47933,741.5
20.72,0.204979685349,61451,1011.0
20.9,0.244378876797,73262,1097.0
20.97,0.248508130676,74500,1134.0
20.95,0.228528473881,68511,1124.0
18.65,0.0858546441437,25738,389.5
17.83,0.0618357646938,18537,266.8
21.54,0.277853422619,83298,1471.0
21.44,0.275440197435,82574,1408.0
20.02,0.155247328221,46541,730.2
21.93,0.330512448683,99085,1760.0
22.08,0.361934308832,108505,1892.0
21.75,0.33063462833,99121,1623.0
19.99,0.144621085972,43356,721.4
22.3,0.389288787688,116705,2092.0
20.23,0.173910056566,52136,806.1
21.55,0.300312695802,90031,1477.0
19.45,0.116348502599,34880,561.3
20.9,0.218585189041,65530,1096.0
19.46,0.119671538006,35876,563.8
20.02,0.154632097239,46357,732.5
22.54,0.408319092164,122410,2334.0
20.77,0.177600694977,53243,1033.0
21.45,0.25066763111,75148,1410.0
21.24,0.251740186424,75469,1283.0
22.21,0.391599213441,117398,2003.0
19.56,0.128726735467,38591,592.7
22.43,0.399601334976,119797,2217.0
21.72,0.309492645411,92783,1598.0
20.17,0.170628396749,51153,785.2
21.47,0.278924676328,83619,1424.0
21.61,0.308580866071,92510,1519.0
20.52,0.18581244671,55705,922.2
18.07,0.0664403123402,19918,298.1
22.1,0.316429844695,94863,1901.0
21.29,0.257497888297,77195,1315.0
21.73,0.298777444088,89571,1606.0
21.37,0.270434442827,81074,1361.0
21.2,0.27945473261,83778,1260.0
21.62,0.292469756082,87680,1527.0
20.49,0.188853175387,56616,908.7
21.2,0.265762479518,79673,1258.0
19.42,0.124273528772,37256,554.6
20.48,0.182548913397,54726,905.3
21.71,0.312883364158,93800,1595.0
21.89,0.309547337158,92799,1732.0
18.53,0.0890194292939,26687,367.9
22.61,0.402459619216,120654,2411.0
20.55,0.200611719928,60141,934.3
21.67,0.326396483203,97851,1565.0
20.68,0.211629598493,63444,990.9
20.42,0.17968564077,53868,879.4
18.98,0.0931494026855,27925,453.1
21.73,0.30240162108,90657,1609.0
19.35,0.108638265524,32568,537.2
18.69,0.0856961170652,25691,397.0
20.67,0.202608679897,60740,985.3
20.62,0.196716068579,58973,965.8
19.62,0.12668798909,37980,606.8
20.9,0.214568258658,64325,1097.0
21.8,0.320446988861,96067,1662.0
20.92,0.218347445403,65458,1107.0
20.64,0.189706566951,56872,972.6
18.85,0.0929368181997,27861,425.8
22.13,0.379662293575,113819,1935.0
20.68,0.210938395061,63237,992.6
22.56,0.366602898789,109904,2355.0
22.83,0.420926821103,126190,2671.0
21.34,0.258028270562,77354,1346.0
20.41,0.183568404877,55032,875.3
20.79,0.212548765094,63720,1041.0
21.86,0.360034211989,107935,1704.0
22.48,0.393974478272,118110,2271.0
19.37,0.11471262087,34389,541.8
19.89,0.143705907,43081,687.3
21.22,0.252486060029,75693,1270.0
22.59,0.387297107465,116108,2391.0
22.0,0.348583857544,104502,1820.0
21.19,0.255490620022,76594,1251.0
21.06,0.216582821954,64929,1180.0
22.02,0.43,128910,1836.0
23.93,0.62,185871,4422.0
23.19,0.57,170881,3146.0
21.66,0.3,89937,1558.0
22.76,0.38,113921,2586.0
23.1,0.43,128910,3018.0
21.44,0.24,71950,1407.0
22.75,0.44,131908,2570.0
23.06,0.5,149896,2969.0
23.52,0.97,290798,3666.0
23.05,0.479,143600,2954.0
24.24,0.83,248827,5111.0
23.12,0.416,124713,3053.0
22.76,0.581,174179,2586.0
22.53,0.45,134906,2325.0
23.89,0.579,173579,4338.0
21.94,0.32,95933,1774.0
23.68,0.657,196963,3936.0
22.47,0.43,128910,2255.0
22.67,0.472,141502,2476.0
23.89,0.374,112122,4335.0
20.89,0.18,53962,1091.0
25.04,0.55,164885,7391.0
24.85,0.592,177477,6768.0
20.0,0.172,51564,725.2
22.66,0.526,157690,2462.0
25.17,0.763,228741,7843.0
24.01,0.58,173879,4582.0
22.5,0.43,128910,2293.0
22.97,0.45,134906,2846.0
23.84,0.656,196663,4256.0
22.82,0.495,148397,2653.0
22.49,0.49,146898,2278.0
23.37,0.57,170881,3422.0
22.91,0.388,116319,2764.0
23.1,0.45,134906,3023.0
22.86,0.48,143900,2704.0
23.24,0.615,184372,3225.0
23.01,0.4,119916,2901.0
23.02,0.655,196364,2904.0
23.68,0.498,149296,3951.0
22.53,0.465,139403,2318.0
23.52,0.453,135805,3666.0
21.9,0.425,127411,1740.0
23.49,0.514,154093,3608.0
22.27,0.423,126812,2056.0
24.79,0.859,257521,6585.0
24.01,0.936,280605,4586.0
23.15,0.528,158290,3096.0
24.2,0.978,293197,5012.0
24.88,0.885,265316,6869.0
24.77,0.815,244330,6530.0
24.47,0.698,209255,5672.0
23.41,0.568,170282,3482.0
24.27,0.711,213152,5168.0
21.78,0.3396,101809,1647.0
22.19,0.3965,118867,1984.0
24.35,0.812,243431,5379.0
24.08,0.799,239534,4740.0
24.08,0.882,264416,4732.0
24.39,0.833,249727,5465.0
24.0,0.874,262018,4561.0
24.21,0.772,231439,5035.0
20.15,0.178,53363,778.0
21.52,0.26,77946,1461.0
20.41,0.186,55761,875.9
21.48,0.269,80644,1430.0
21.08,0.215,64455,1190.0
23.18,0.543,162787,3132.0
23.94,0.75,224844,4452.0
23.46,0.64,191867,3571.0
22.88,0.43,128910,2734.0
23.86,0.64,191867,4294.0
23.02,0.497,148996,2917.0
22.71,0.44,131908,2524.0
22.04,0.355,106426,1856.0
